object_annotation_category,total_lipids_ugC,fullness_ratio_carbon,month,month_true
female+lateral<Calanus hyperboreus,1411.504834968888,0.689063694111776,8,8
female+lateral<Calanus hyperboreus,1945.0351158760452,0.7267483636968902,8,8
female+lateral<Calanus hyperboreus,2131.530004041202,0.5681581773095398,8,8
female+lateral<Calanus hyperboreus,1648.1219354332889,0.5660158374512215,8,8
cvstage+lateral<Calanus glacialis,320.37998422774814,0.7567463977988262,8,8
cvstage+lateral<Calanus glacialis,438.58503887549045,0.7787700800204405,8,8
cvstage+lateral<Calanus hyperboreus,354.3896180492453,0.6154259488624412,8,8
cvstage+lateral<Calanus hyperboreus,590.8316477125536,0.5410233339628769,8,8
cvstage+lateral<Calanus hyperboreus,521.6829202542425,0.5288310156220962,8,8
cvstage+lateral<Calanus hyperboreus,1501.5306952929343,0.6022337721709677,8,8
female+lateral<Calanus hyperboreus,2008.7072155374956,0.6481139275187745,8,8
cvstage+lateral<Calanus glacialis,323.47658975420916,0.5233989522171589,8,8
cvstage+lateral<Calanus hyperboreus,1601.5748403979087,0.6493850193606628,8,8
cvstage+lateral<Calanus glacialis,462.2389638154817,0.8168014354498365,8,8
female+lateral<Calanus hyperboreus,1457.975719140735,0.7401840852010064,8,8
cvstage+lateral<Calanus hyperboreus,1190.9358131058764,0.641257766406186,8,8
cvstage+lateral<Calanus hyperboreus,1229.110811956382,0.5933843273758398,8,8
cvstage+lateral<Calanus glacialis,434.8431363451816,0.5627154770767744,8,8
cvstage+lateral<Calanus glacialis,292.1595090744069,0.56693358654333,8,8
civstage+lateral<Calanus hyperboreus,388.0295359221158,0.6330193881610944,8,8
cvstage+lateral<Calanus hyperboreus,1259.3264138829204,0.5480356395537762,8,8
cvstage+lateral<Calanus hyperboreus,1518.3439678352722,0.6415602305518544,8,8
cvstage+lateral<Calanus glacialis,337.2579778672413,0.5150860741171194,8,8
cvstage+lateral<Calanus hyperboreus,1224.3194861905383,0.6671070295560204,8,8
cvstage+lateral<Calanus glacialis,442.4781539885535,0.6362297433537393,8,8
female+lateral<Calanus hyperboreus,1250.0655030785515,0.5741488892864698,8,8
female+lateral<Calanus hyperboreus,1313.4554535364318,0.6260254859939033,8,8
female+lateral<Calanus hyperboreus,3094.3960131430917,0.7189837162313486,8,8
cvstage+lateral<Calanus hyperboreus,745.2150621823347,0.494759782424088,8,8
cvstage+lateral<Calanus hyperboreus,1178.9847315933732,0.7367307304957608,8,8
cvstage+lateral<Calanus hyperboreus,664.0613569097795,0.4984727878669661,8,8
female+lateral<Calanus hyperboreus,1732.085301859243,0.524591003670574,8,8
cvstage+lateral<Calanus glacialis,453.2900246327306,0.7113365517318513,8,8
civstage+lateral<Calanus hyperboreus,206.6570333144693,0.4286193894738319,8,8
civstage+lateral<Calanus hyperboreus,333.9923492734621,0.5294887222109592,8,8
female+lateral<Calanus hyperboreus,1296.5641124165936,0.5113863234415836,8,8
civstage+lateral<Calanus hyperboreus,412.5924002904278,0.5907446121165234,8,8
cvstage+lateral<Calanus glacialis,477.4614907225609,0.7577963744044268,8,8
female+lateral<Calanus hyperboreus,1426.010429415251,0.5768149297410254,8,8
cvstage+lateral<Calanus glacialis,317.9347635219105,0.5559825575453575,8,8
female+lateral<Calanus hyperboreus,1232.276117246126,0.4859466095241674,8,8
female+lateral<Calanus hyperboreus,1376.0779294144645,0.5082753953938979,8,8
female+lateral<Calanus hyperboreus,1388.4867946918837,0.6344182638172593,8,8
female+lateral<Calanus glacialis,271.93680875810105,0.566559406890779,8,8
female+lateral<Calanus glacialis,291.9087905255092,0.5579457998891624,8,8
cvstage+lateral<Calanus hyperboreus,815.112178924153,0.4740101267725644,8,8
cvstage+lateral<Calanus hyperboreus,761.3081699285849,0.5797238116046617,8,8
cvstage+lateral<Calanus hyperboreus,471.81721944403,0.4072981189440608,8,8
civstage+lateral<Calanus hyperboreus,472.32294519625816,0.6466251973340732,8,8
cvstage+lateral<Calanus glacialis,381.4331284641182,0.6225548313077015,8,8
cvstage+lateral<Calanus glacialis,391.3744295316828,0.5959312059169304,8,8
cvstage+lateral<Calanus glacialis,447.874439444082,0.6451631616703434,8,8
cvstage+lateral<Calanus glacialis,235.92420697087485,0.7031963642194413,8,8
